correct 	4.6secs 	What is 5 - 6? 	== 	-1 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:42:43 GMT-0600 (Central Standard Time)
correct 	18.8secs 	What is 5 - 7? 	== 	-2 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:43:17 GMT-0600 (Central Standard Time)
correct 	5.1secs 	What is 5 - 8? 	== 	-3 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:43:23 GMT-0600 (Central Standard Time)
correct 	8.6secs 	What is 5 - 1? 	== 	4 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:43:47 GMT-0600 (Central Standard Time)
correct 	5.5secs 	What is 5 - 2? 	== 	3 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:44:04 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is 5 - 3? 	== 	2 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:44:21 GMT-0600 (Central Standard Time)
correct 	5.3secs 	What is 77 / 11? 	== 	7 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:44:43 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 1 * 6? 	== 	6 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:45:00 GMT-0600 (Central Standard Time)
wrong 	0.3secs 	What is 11 * 2? 	!= 	40 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:45:58 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 11 * 2? 	== 	22 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:47:00 GMT-0600 (Central Standard Time)
correct 	5.5secs 	What is 1 * -5? 	== 	-5 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:47:44 GMT-0600 (Central Standard Time)
correct 	5.8secs 	What is 121 / 11? 	== 	11 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:48:04 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 7 * 1? 	== 	7 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:48:21 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is 3 * 11? 	== 	33 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:48:41 GMT-0600 (Central Standard Time)
correct 	6.9secs 	What is -6 + 9? 	== 	3 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:49:05 GMT-0600 (Central Standard Time)
correct 	7.3secs 	What is -10 + -12? 	== 	-22 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 20:49:26 GMT-0600 (Central Standard Time)
correct 	7.9secs 	What is 8 - 5? 	== 	3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 20:49:46 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 2 * 9? 	== 	18 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 20:50:01 GMT-0600 (Central Standard Time)
correct 	4.7secs 	What is 7 + 6? 	== 	13 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:50:43 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is 6 * 11? 	== 	66 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:51:01 GMT-0600 (Central Standard Time)
wrong 	6.1secs 	What is 42 / 6? 	!= 	6 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:51:24 GMT-0600 (Central Standard Time)
wrong 	19.3secs 	What is 6 * 7? 	!= 	24 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 20:51:58 GMT-0600 (Central Standard Time)
correct 	5.1secs 	What is 7 * 6? 	== 	42 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 20:52:03 GMT-0600 (Central Standard Time)
wrong 	5.1secs 	What is 42 / 6? 	!= 	5 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 20:52:23 GMT-0600 (Central Standard Time)
correct 	15.1secs 	What is 42 / 7? 	== 	6 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 20:52:53 GMT-0600 (Central Standard Time)
correct 	5.1secs 	What is 6 * 7? 	== 	42 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 20:53:03 GMT-0600 (Central Standard Time)
wrong 	0.2secs 	What is 7 * 6? 	!= 	48 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 20:53:19 GMT-0600 (Central Standard Time)
correct 	3.8secs 	What is 42 / 6? 	== 	7 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 20:53:42 GMT-0600 (Central Standard Time)
wrong 	4.1secs 	What is 42 / 7? 	!= 	8 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:54:03 GMT-0600 (Central Standard Time)
correct 	13.2secs 	What is 7 * 4? 	== 	28 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:54:32 GMT-0600 (Central Standard Time)
correct 	5.9secs 	What is 7 * 5? 	== 	35 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:54:44 GMT-0600 (Central Standard Time)
wrong 	28.0secs 	What is 7 * 6? 	!= 	64 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:55:26 GMT-0600 (Central Standard Time)
correct 	8.1secs 	What is 7 * 5? 	== 	35 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:55:47 GMT-0600 (Central Standard Time)
correct 	10.6secs 	What is 7 * 6? 	== 	42 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:56:09 GMT-0600 (Central Standard Time)
correct 	18.1secs 	What is 7 * 6? 	== 	42 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:56:37 GMT-0600 (Central Standard Time)
correct 	5.7secs 	What is 6 * 7? 	== 	42 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:56:44 GMT-0600 (Central Standard Time)
correct 	4.1secs 	What is 42 / 7? 	== 	6 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:57:03 GMT-0600 (Central Standard Time)
correct 	11.0secs 	What is 42 / 6? 	== 	7 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:57:30 GMT-0600 (Central Standard Time)
correct 	10.5secs 	What is 9 * 0? 	== 	0 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:57:49 GMT-0600 (Central Standard Time)
correct 	11.8secs 	What is 8 * 3? 	== 	24 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:58:10 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 2 * 9? 	== 	18 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:58:22 GMT-0600 (Central Standard Time)
correct 	3.0secs 	What is 10 * 2? 	== 	20 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:58:42 GMT-0600 (Central Standard Time)
