wrong 	Fri Jan 08 2021 13:23:35 GMT-0600 (Central Standard Time) 	8061 	What is 0 - -11? 	!= 14
correct 	3.1secs 	What is 144 / 12? 	== 	12 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:55:02 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 0 * 10? 	== 	0 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:55:20 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 10 - 2? 	== 	8 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:55:41 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 0 * 4? 	== 	0 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:56:00 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 6 / 1? 	== 	6 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:56:21 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 5 - 0? 	== 	5 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:56:41 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is -2 * 1? 	== 	-2 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:19:14 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 9 * 0? 	== 	0 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:19:53 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 7 * 6? 	== 	42 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:20:13 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 9 + 9? 	== 	18 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:20:34 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 3 * 2? 	== 	6 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:20:53 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is 9 + 8? 	== 	17 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:21:12 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 6 * 11? 	== 	66 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:21:33 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 5 * 8? 	== 	40 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:21:53 GMT-0600 (Central Standard Time)
